invoice_no,customer_name,invoice_amount,invoice_date,payment_ref
INV-4501,Flipkart Internet Pvt Ltd,612.55,2026-08-08,UTR8800001
INV-4502,Flipkart Internet Pvt Ltd,3157.22,2026-08-06,UTR8800002
INV-4503,Zomato Ltd,3722.09,2026-08-14,UTR8800003
INV-4504,Reliance Retail Ltd,4142.44,2026-08-13,UTR8800004
INV-4505,Zomato Ltd,4807.46,2026-08-02,UTR8800005
INV-4506,Myntra Designs Pvt Ltd,3216.77,2026-08-13,UTR8800006
INV-4507,Big Basket,854.6,2026-08-19,
INV-4509,Zomato Media,4399.18,2026-08-13,
INV-4510,Myntra Designs Pvt Ltd,1442.78,2026-08-21,UTR8800010
INV-4511,Swiggy Bundl Technologies,2903.63,2026-08-14,UTR8800011
INV-4512,Zomato Media,3580.76,2026-08-02,
INV-4513,BigBasket Innovative Retail,1704.83,2026-08-17,UTR8800013
INV-4514,Nykaa E-Retail Pvt Ltd,2280.34,2026-08-15,UTR8800014
INV-4515,Zomato Media,3852.45,2026-08-18,
INV-4516,Zomato Media,4987.97,2026-08-16,
INV-4517,Swiggy Bundl Technologies,3323.51,2026-08-12,UTR8800017
INV-4518,Big Basket,3181.5,2026-08-07,
INV-4519,Flipkart Internet Pvt Ltd,3567.7,2026-08-07,UTR8800019
INV-4520,Reliance Digital,2456.44,2026-08-07,
INV-4521,Flipkart Internet Pvt Ltd,4417.33,2026-08-19,UTR8800021
INV-4522,Swiggy Bundl Technologies,2182.61,2026-08-17,UTR8800022
INV-4523,Nykaa E-Retail Pvt Ltd,587.65,2026-08-10,UTR8800023
INV-4524,Flipkart,885.44,2026-08-01,
INV-4525,Nykaa E-Retail Pvt Ltd,4760.82,2026-08-15,UTR8800025
INV-4526,Zomato Ltd,4680.11,2026-08-05,UTR8800026
INV-4527,Myntra Designs Pvt Ltd,2471.45,2026-08-04,UTR8800027
INV-4528,Myntra Designs Pvt Ltd,594.65,2026-08-19,UTR8800028
INV-4529,Amazon Pvt Ltd,1530.24,2026-08-11,UTR8800029
INV-4531,Nykaa E-Retail Pvt Ltd,1593.49,2026-08-14,UTR8800031
INV-4532,BigBasket Innovative Retail,2094.34,2026-07-31,UTR8800032
INV-4533,Flipkart Internet Pvt Ltd,772.76,2026-08-04,UTR8800033
INV-4534,Nykaa Fashion,1130.82,2026-08-15,
INV-4537,Swiggy Bundl Technologies,2205.38,2026-08-08,UTR8800037
INV-4538,Nykaa E-Retail Pvt Ltd,1196.59,2026-07-31,UTR8800038
INV-4539,Amazon Pvt Ltd,3865.89,2026-08-18,UTR8800039
INV-4540,Swiggy Bundl Technologies,755.96,2026-08-06,UTR8800040
INV-4541,Zomato Ltd,2316.99,2026-08-19,UTR8800041
INV-4542,Amazon Pvt Ltd,3287.22,2026-08-17,UTR8800042
INV-4543,Reliance Retail Ltd,1419.17,2026-08-07,UTR8800043
INV-4544,Reliance Retail Ltd,2557.51,2026-08-03,UTR8800044
INV-4546,Flipkart,4456.72,2026-08-05,
INV-4547,Amazon Pvt Ltd,3505.38,2026-08-04,UTR8800047
INV-4548,Flipkart Internet Pvt Ltd,3840.88,2026-08-08,UTR8800048
INV-4549,Myntra Designs Pvt Ltd,1416.19,2026-08-07,UTR8800049
INV-4550,Amazon Pvt Ltd,915.34,2026-08-09,UTR8800050
INV-4551,Swiggy Bundl Technologies,3367.01,2026-08-13,UTR8800051
INV-4552,Amazon Pvt Ltd,1003.43,2026-08-03,UTR8800052
INV-4553,Myntra Designs Pvt Ltd,3121.29,2026-08-05,UTR8800053
INV-4554,Amazon Pvt Ltd,4545.16,2026-08-06,UTR8800054
INV-4556,Swiggy Foods,4466.37,2026-08-10,
INV-4557,Zomato Media,1700.63,2026-08-03,
INV-4558,Zomato Media,1398.08,2026-08-11,
INV-4559,Zomato Media,606.49,2026-08-10,
INV-4561,Flipkart Internet Pvt Ltd,4446.67,2026-08-18,UTR8800061
INV-4563,Flipkart Internet Pvt Ltd,2233.38,2026-08-09,UTR8800063
INV-4564,Amazon Pvt Ltd,2839.64,2026-08-06,UTR8800064
INV-4566,Reliance Retail Ltd,3501.02,2026-08-08,UTR8800066
INV-4567,BigBasket Innovative Retail,3492.18,2026-08-04,UTR8800067
INV-4568,BigBasket Innovative Retail,2965.72,2026-08-12,UTR8800068
INV-4569,Myntra Designs Pvt Ltd,2592.45,2026-08-05,UTR8800069
INV-4570,Swiggy Bundl Technologies,3464.83,2026-08-19,UTR8800070
INV-4571,Zomato Ltd,3527.58,2026-08-07,UTR8800071
INV-4572,Zomato Ltd,4927.71,2026-08-02,UTR8800072
INV-4573,Zomato Ltd,3732.56,2026-08-13,UTR8800073
INV-4574,Amazon Pvt Ltd,4516.97,2026-08-03,UTR8800074
INV-4575,Nykaa E-Retail Pvt Ltd,725.98,2026-08-03,UTR8800075
INV-4577,Nykaa Fashion,3256.94,2026-08-16,
INV-4578,Swiggy Foods,3846.45,2026-08-09,
INV-4579,Nykaa E-Retail Pvt Ltd,3320.37,2026-08-01,UTR8800079
INV-4580,Reliance Retail Ltd,2011.31,2026-08-03,UTR8800080
INV-4581,BigBasket Innovative Retail,3622.77,2026-08-02,UTR8800081
INV-4583,Amazon Pvt Ltd,4355.29,2026-08-12,UTR8800083
INV-4584,Myntra Designs Pvt Ltd,1843.76,2026-08-12,UTR8800084
INV-4585,Zomato Ltd,2697.03,2026-08-16,UTR8800085
INV-4586,BigBasket Innovative Retail,3758.82,2026-08-03,UTR8800086
INV-4587,BigBasket Innovative Retail,3163.52,2026-08-01,UTR8800087
INV-4588,Nykaa E-Retail Pvt Ltd,1317.78,2026-08-11,UTR8800088
INV-4589,Myntra Jabong,3925.53,2026-08-13,
INV-4590,Amazon India,4999.59,2026-08-21,
INV-4591,Amazon Pvt Ltd,4773.25,2026-07-30,UTR8800091
INV-4592,Swiggy Bundl Technologies,2631.02,2026-08-06,UTR8800092
INV-4595,BigBasket Innovative Retail,2284.94,2026-08-01,UTR8800095
INV-4596,Zomato Media,958.56,2026-08-20,
INV-4597,Amazon Pvt Ltd,2062.42,2026-08-12,UTR8800097
INV-4598,Myntra Designs Pvt Ltd,556.93,2026-08-16,UTR8800098
INV-4599,Myntra Designs Pvt Ltd,3360.13,2026-08-04,UTR8800099
INV-4600,Reliance Retail Ltd,3271.61,2026-08-15,UTR8800100
INV-4601,Reliance Digital,1950.37,2026-08-02,
INV-4602,Nykaa E-Retail Pvt Ltd,3064.32,2026-08-11,UTR8800102
INV-4603,Myntra Designs Pvt Ltd,1318.28,2026-08-08,UTR8800103
INV-4604,Reliance Retail Ltd,3001.06,2026-08-07,UTR8800104
INV-4605,BigBasket Innovative Retail,2698.6,2026-08-14,UTR8800105
INV-4606,Nykaa E-Retail Pvt Ltd,4068.2,2026-08-07,UTR8800106
INV-4607,Reliance Retail Ltd,3487.82,2026-08-16,UTR8800107
INV-4608,Myntra Designs Pvt Ltd,2083.15,2026-08-09,UTR8800108
INV-4609,Zomato Ltd,1919.97,2026-08-06,UTR8800109
INV-4610,Nykaa E-Retail Pvt Ltd,1744.25,2026-08-15,UTR8800110
INV-4611,Flipkart Internet Pvt Ltd,4246.83,2026-08-12,UTR8800111
INV-4612,Swiggy Bundl Technologies,1734.4,2026-08-17,UTR8800112
INV-4613,Swiggy Bundl Technologies,3370.41,2026-08-04,UTR8800113
INV-4615,Nykaa E-Retail Pvt Ltd,1013.39,2026-08-16,UTR8800115
INV-4617,Flipkart Internet Pvt Ltd,3011.33,2026-08-18,UTR8800117
INV-4618,BigBasket Innovative Retail,2527.32,2026-08-18,UTR8800118
INV-4619,Amazon Pvt Ltd,3243.34,2026-08-05,UTR8800119
INV-4620,Flipkart Internet Pvt Ltd,1206.76,2026-08-03,UTR8800120
INV-4621,Nykaa E-Retail Pvt Ltd,3602.17,2026-08-02,UTR8800121
INV-4622,Reliance Digital,3663.44,2026-08-07,
INV-4624,Swiggy Bundl Technologies,821.34,2026-08-08,UTR8800124
INV-4625,Reliance Retail Ltd,2476.19,2026-08-08,UTR8800125
INV-4626,Reliance Retail Ltd,2752.12,2026-08-01,UTR8800126
INV-4627,BigBasket Innovative Retail,3805.4,2026-08-01,UTR8800127
INV-4628,Amazon Pvt Ltd,4998.08,2026-08-07,UTR8800128
INV-4630,BigBasket Innovative Retail,3356.53,2026-08-02,UTR8800130
INV-4631,Myntra Designs Pvt Ltd,1944.76,2026-08-05,UTR8800131
INV-4632,Nykaa E-Retail Pvt Ltd,1796.98,2026-08-18,UTR8800132
INV-4633,Myntra Jabong,1635.79,2026-08-11,
INV-4634,Nykaa Fashion,2359.61,2026-08-10,
INV-4635,Amazon India,1416.01,2026-08-09,
INV-4636,Amazon Pvt Ltd,4879.16,2026-08-06,UTR8800136
INV-4638,Swiggy Bundl Technologies,2742.69,2026-08-15,UTR8800138
INV-4639,Nykaa E-Retail Pvt Ltd,4911.1,2026-08-18,UTR8800139
INV-4641,Reliance Retail Ltd,4192.47,2026-08-08,UTR8800141
INV-4642,Nykaa E-Retail Pvt Ltd,4393.67,2026-08-15,UTR8800142
INV-4643,BigBasket Innovative Retail,2549.05,2026-08-05,UTR8800143
INV-4644,BigBasket Innovative Retail,1551.03,2026-08-01,UTR8800144
INV-4645,BigBasket Innovative Retail,2237.35,2026-08-21,UTR8800145
INV-4646,Amazon India,1068.11,2026-08-11,
INV-4647,Nykaa E-Retail Pvt Ltd,569.06,2026-08-21,UTR8800147
INV-4648,Reliance Digital,2023.53,2026-08-21,
INV-4649,BigBasket Innovative Retail,4793.63,2026-08-14,UTR8800149
INV-4650,Flipkart Internet Pvt Ltd,1556.47,2026-08-10,UTR8800150
INV-4651,BigBasket Innovative Retail,4902.52,2026-08-03,UTR8800151
INV-4652,Reliance Retail Ltd,4565.41,2026-08-01,UTR8800152
INV-4653,Big Basket,1155.06,2026-08-17,
INV-4655,Swiggy Bundl Technologies,1544.85,2026-08-14,UTR8800155
INV-4656,Nykaa E-Retail Pvt Ltd,4555.44,2026-08-06,UTR8800156
INV-4657,Myntra Designs Pvt Ltd,4944.43,2026-08-12,UTR8800157
INV-4658,Reliance Retail Ltd,1396.48,2026-08-16,UTR8800158
INV-4660,BigBasket Innovative Retail,1735.16,2026-07-31,UTR8800160
INV-4661,Reliance Retail Ltd,3990.83,2026-08-12,UTR8800161
INV-4662,Reliance Retail Ltd,3549.94,2026-08-03,UTR8800162
INV-4663,Amazon Pvt Ltd,1890.2,2026-08-18,UTR8800163
INV-4664,Flipkart Internet Pvt Ltd,4593.33,2026-08-14,UTR8800164
INV-4666,Nykaa E-Retail Pvt Ltd,4853.23,2026-08-11,UTR8800166
INV-4667,Flipkart Internet Pvt Ltd,1133.41,2026-08-11,UTR8800167
INV-4668,BigBasket Innovative Retail,562.63,2026-08-14,UTR8800168
INV-4669,Reliance Retail Ltd,3130.52,2026-08-12,UTR8800169
INV-4671,Zomato Ltd,3414.44,2026-08-13,UTR8800171
INV-4673,Flipkart Internet Pvt Ltd,937.36,2026-08-04,UTR8800173
INV-4674,BigBasket Innovative Retail,3143.03,2026-08-12,UTR8800174
INV-4675,Nykaa E-Retail Pvt Ltd,3270.43,2026-08-09,UTR8800175
INV-4677,Myntra Designs Pvt Ltd,2950.1,2026-08-12,UTR8800177
INV-4678,Zomato Ltd,4856.93,2026-08-15,UTR8800178
INV-4679,Amazon Pvt Ltd,727.6,2026-08-03,UTR8800179
INV-4680,Zomato Media,3138.72,2026-08-07,
INV-4681,Amazon Pvt Ltd,1747.74,2026-08-03,UTR8800181
INV-4682,Swiggy Bundl Technologies,994.67,2026-08-05,UTR8800182
INV-4683,Zomato Ltd,3149.84,2026-08-03,UTR8800183
INV-4684,Flipkart Internet Pvt Ltd,3855.49,2026-08-10,UTR8800184
INV-4685,Nykaa Fashion,2767.27,2026-07-31,
INV-4686,Reliance Digital,2561.19,2026-08-01,
INV-4687,Flipkart Internet Pvt Ltd,2706.21,2026-08-03,UTR8800187
INV-4688,Swiggy Bundl Technologies,795.57,2026-08-19,UTR8800188
INV-4689,Myntra Designs Pvt Ltd,2214.07,2026-08-09,UTR8800189
INV-4690,Big Basket,946.3,2026-08-19,
INV-4691,Zomato Media,2435.31,2026-08-13,
INV-4693,Nykaa E-Retail Pvt Ltd,802.1,2026-08-02,UTR8800193
INV-4694,Myntra Designs Pvt Ltd,4152.96,2026-08-17,UTR8800194
INV-4695,Flipkart Internet Pvt Ltd,2348.64,2026-08-12,UTR8800195
INV-4696,Reliance Retail Ltd,3201.85,2026-08-17,UTR8800196
INV-4697,Nykaa E-Retail Pvt Ltd,1509.1,2026-08-17,UTR8800197
INV-4698,Reliance Retail Ltd,3083.45,2026-08-16,UTR8800198
INV-4699,Amazon Pvt Ltd,3240.48,2026-08-09,UTR8800199
INV-4700,Reliance Retail Ltd,4646.92,2026-08-06,UTR8800200
INV-4701,BigBasket Innovative Retail,813.13,2026-08-01,UTR8800201
INV-4702,Zomato Ltd,2192.87,2026-08-05,UTR8800202
INV-4703,Myntra Designs Pvt Ltd,3995.76,2026-08-03,UTR8800203
INV-4704,Amazon Pvt Ltd,3532.86,2026-08-13,UTR8800204
INV-4705,BigBasket Innovative Retail,1729.25,2026-08-03,UTR8800205
INV-4706,Reliance Retail Ltd,3551.98,2026-08-15,UTR8800206
INV-4707,Zomato Ltd,2278.69,2026-08-01,UTR8800207
INV-4708,Zomato Ltd,3953.07,2026-08-09,UTR8800208
INV-4709,Nykaa E-Retail Pvt Ltd,3861.56,2026-08-11,UTR8800209
INV-4710,Myntra Designs Pvt Ltd,824.34,2026-08-01,UTR8800210
INV-4711,Flipkart Internet Pvt Ltd,4379.5,2026-08-18,UTR8800211
INV-4712,Big Basket,1802.82,2026-08-11,
INV-4713,Myntra Designs Pvt Ltd,896.58,2026-08-07,UTR8800213
INV-4714,Flipkart Internet Pvt Ltd,2280.95,2026-08-11,UTR8800214
INV-4715,Swiggy Bundl Technologies,843.71,2026-08-15,UTR8800215
INV-4716,Myntra Designs Pvt Ltd,2079.95,2026-08-21,UTR8800216
INV-4717,Swiggy Bundl Technologies,1651.86,2026-08-03,UTR8800217
INV-4718,Nykaa E-Retail Pvt Ltd,2587.79,2026-08-18,UTR8800218
INV-4719,Myntra Designs Pvt Ltd,4389.11,2026-08-04,UTR8800219
INV-4720,Nykaa E-Retail Pvt Ltd,3341.23,2026-08-19,UTR8800220
INV-4721,Flipkart,1896.84,2026-08-01,
INV-4722,Flipkart Internet Pvt Ltd,3267.54,2026-08-13,UTR8800222
INV-4723,Amazon Pvt Ltd,2523.8,2026-08-21,UTR8800223
INV-4724,Nykaa Fashion,2756.15,2026-08-15,
INV-4725,Flipkart Internet Pvt Ltd,2770.47,2026-08-06,UTR8800225
INV-4727,Big Basket,2339.46,2026-08-20,
INV-4728,Flipkart Internet Pvt Ltd,1983.61,2026-08-12,UTR8800228
INV-4729,Swiggy Bundl Technologies,2000.13,2026-08-04,UTR8800229
INV-4730,BigBasket Innovative Retail,1080.28,2026-08-02,UTR8800230
