settlement_id,payment_id,customer_name,order_amount,expected_fee,actual_fee,fee_diff,expected_gst,actual_gst,gst_diff,leakage,reason
stl_002,pay_29002xA,Flipkart Internet Pvt Ltd,3157.22,78.93,81.04,2.11,14.21,14.21,0.0,2.11,"fee off by ₹2.11 (expected ₹78.93, actual ₹81.04) — exceeds ₹0.50 tolerance"
stl_004,pay_29004xA,Reliance Retail Ltd,4142.44,103.56,110.3,6.74,18.64,18.64,0.0,6.74,"fee off by ₹6.74 (expected ₹103.56, actual ₹110.30) — exceeds ₹0.50 tolerance"
stl_056,pay_29056xA,Swiggy Bundl Technologies,4466.37,111.66,117.95,6.29,20.1,20.1,0.0,6.29,"fee off by ₹6.29 (expected ₹111.66, actual ₹117.95) — exceeds ₹0.50 tolerance"
stl_068,pay_29068xA,BigBasket Innovative Retail,2965.72,74.14,77.5,3.36,13.35,13.35,0.0,3.36,"fee off by ₹3.36 (expected ₹74.14, actual ₹77.50) — exceeds ₹0.50 tolerance"
stl_183,pay_29183xA,Zomato Ltd,3149.84,78.75,81.97,3.22,14.18,14.17,-0.01,3.21,"fee off by ₹3.22 (expected ₹78.75, actual ₹81.97) — exceeds ₹0.50 tolerance"
stl_232,pay_29232xA,BigBasket Innovative Retail,2788.2,69.7,73.21,3.51,12.55,12.55,0.0,3.51,"fee off by ₹3.51 (expected ₹69.70, actual ₹73.21) — exceeds ₹0.50 tolerance"
stl_247,pay_29247xA,Nykaa E-Retail Pvt Ltd,2518.71,62.97,64.98,2.01,11.33,11.33,0.0,2.01,"fee off by ₹2.01 (expected ₹62.97, actual ₹64.98) — exceeds ₹0.50 tolerance"
stl_271,pay_29271xA,Zomato Ltd,4822.34,120.56,123.27,2.71,21.7,21.7,0.0,2.71,"fee off by ₹2.71 (expected ₹120.56, actual ₹123.27) — exceeds ₹0.50 tolerance"
stl_288,pay_29288xA,BigBasket Innovative Retail,3281.49,82.04,89.32,7.28,14.77,14.77,0.0,7.28,"fee off by ₹7.28 (expected ₹82.04, actual ₹89.32) — exceeds ₹0.50 tolerance"
stl_306,pay_29306xA,Reliance Retail Ltd,2637.02,65.93,69.58,3.65,11.87,11.87,0.0,3.65,"fee off by ₹3.65 (expected ₹65.93, actual ₹69.58) — exceeds ₹0.50 tolerance"
stl_343,pay_29343xA,BigBasket Innovative Retail,1645.06,41.13,44.05,2.92,7.4,7.4,0.0,2.92,"fee off by ₹2.92 (expected ₹41.13, actual ₹44.05) — exceeds ₹0.50 tolerance"
stl_440,pay_29440xA,Reliance Retail Ltd,4436.64,110.92,114.13,3.21,19.97,19.97,0.0,3.21,"fee off by ₹3.21 (expected ₹110.92, actual ₹114.13) — exceeds ₹0.50 tolerance"
stl_471,pay_29471xA,Amazon Pvt Ltd,1679.83,42.0,43.89,1.89,7.56,7.56,0.0,1.89,"fee off by ₹1.89 (expected ₹42.00, actual ₹43.89) — exceeds ₹0.50 tolerance"
stl_491,pay_29491xA,Amazon Pvt Ltd,4779.46,119.49,125.26,5.77,21.51,21.51,0.0,5.77,"fee off by ₹5.77 (expected ₹119.49, actual ₹125.26) — exceeds ₹0.50 tolerance"
