utr_number,settlement_id,customer_name,order_amount,settlement_date,reason
UTR8800006,stl_006,BigBasket Innovative Retail,2031.13,2026-08-06,No ERP invoice found matching amount+date within tolerance.
UTR8800026,stl_026,Reliance Retail Ltd,4873.5,2026-08-07,No ERP invoice found matching amount+date within tolerance.
UTR8800028,stl_028,Myntra Designs Pvt Ltd,3931.3,2026-08-19,No ERP invoice found matching amount+date within tolerance.
UTR8800030,stl_030,Reliance Retail Ltd,1577.54,2026-08-09,No ERP invoice found matching amount+date within tolerance.
UTR8800048,stl_048,Nykaa E-Retail Pvt Ltd,1196.59,2026-08-11,No ERP invoice found matching amount+date within tolerance.
UTR8800058,stl_058,Nykaa E-Retail Pvt Ltd,4251.85,2026-08-11,No ERP invoice found matching amount+date within tolerance.
UTR8800059,stl_059,Amazon Pvt Ltd,3505.38,2026-08-19,No ERP invoice found matching amount+date within tolerance.
UTR8800066,stl_066,BigBasket Innovative Retail,3024.08,2026-08-05,No ERP invoice found matching amount+date within tolerance.
UTR8800070,stl_070,Flipkart Internet Pvt Ltd,2091.55,2026-08-19,No ERP invoice found matching amount+date within tolerance.
UTR8800071,stl_071,Swiggy Bundl Technologies,4665.94,2026-08-09,No ERP invoice found matching amount+date within tolerance.
UTR8800078,stl_078,BigBasket Innovative Retail,3557.83,2026-08-19,No ERP invoice found matching amount+date within tolerance.
UTR8800083,stl_083,Zomato Ltd,2139.0,2026-08-04,No ERP invoice found matching amount+date within tolerance.
UTR8800084,stl_084,Myntra Designs Pvt Ltd,3485.24,2026-08-05,No ERP invoice found matching amount+date within tolerance.
UTR8800092,stl_092,Zomato Ltd,1163.09,2026-08-03,No ERP invoice found matching amount+date within tolerance.
UTR8800105,stl_105,Zomato Ltd,4248.01,2026-08-14,No ERP invoice found matching amount+date within tolerance.
UTR8800117,stl_117,Zomato Ltd,1067.99,2026-08-05,No ERP invoice found matching amount+date within tolerance.
UTR8800120,stl_120,Amazon Pvt Ltd,4679.99,2026-08-20,No ERP invoice found matching amount+date within tolerance.
UTR8800136,stl_136,Nykaa E-Retail Pvt Ltd,2990.63,2026-08-13,No ERP invoice found matching amount+date within tolerance.
UTR8800148,stl_148,Zomato Ltd,3990.62,2026-08-14,No ERP invoice found matching amount+date within tolerance.
UTR8800162,stl_162,Swiggy Bundl Technologies,2617.25,2026-08-22,No ERP invoice found matching amount+date within tolerance.
UTR8800170,stl_170,Amazon Pvt Ltd,1416.01,2026-08-19,No ERP invoice found matching amount+date within tolerance.
UTR8800173,stl_173,BigBasket Innovative Retail,919.44,2026-08-05,No ERP invoice found matching amount+date within tolerance.
UTR8800182,stl_182,BigBasket Innovative Retail,696.41,2026-08-17,No ERP invoice found matching amount+date within tolerance.
UTR8800188,stl_188,Myntra Designs Pvt Ltd,4335.54,2026-08-19,No ERP invoice found matching amount+date within tolerance.
UTR8800190,stl_190,Reliance Retail Ltd,4988.42,2026-08-04,No ERP invoice found matching amount+date within tolerance.
UTR8800194,stl_194,BigBasket Innovative Retail,3288.7,2026-08-09,No ERP invoice found matching amount+date within tolerance.
