utr_number,settlement_id,invoice_no,match_type,confidence,reason
UTR8800005,stl_005,INV-4505,fuzzy,0.73,"Amount matched (diff ₹0.00), date diff 1d, name similarity 73%"
UTR8800016,stl_016,INV-4516,fuzzy,0.5,"Amount matched (diff ₹0.00), date diff 1d, name similarity 46%"
UTR8800017,stl_017,INV-4517,fuzzy,0.5,"Amount matched (diff ₹0.00), date diff 3d, name similarity 43%"
UTR8800021,stl_021,INV-4521,fuzzy,0.5,"Amount matched (diff ₹0.00), date diff 1d, name similarity 43%"
UTR8800024,stl_024,INV-4524,fuzzy,0.62,"Amount matched (diff ₹0.00), date diff 3d, name similarity 62%"
UTR8800029,stl_029,INV-4529,fuzzy,0.5,"Amount matched (diff ₹0.00), date diff 2d, name similarity 46%"
UTR8800031,stl_031,INV-4531,fuzzy,0.5,"Amount matched (diff ₹0.00), date diff 3d, name similarity 48%"
UTR8800050,stl_050,INV-4550,fuzzy,0.5,"Amount matched (diff ₹0.00), date diff 1d, name similarity 43%"
UTR8800068,stl_068,INV-4568,fuzzy,0.5,"Amount matched (diff ₹0.00), date diff 2d, name similarity 43%"
UTR8800073,stl_073,INV-4573,fuzzy,0.5,"Amount matched (diff ₹0.00), date diff 3d, name similarity 46%"
UTR8800074,stl_074,INV-4574,fuzzy,0.57,"Amount matched (diff ₹0.00), date diff 2d, name similarity 57%"
UTR8800088,stl_088,INV-4588,fuzzy,0.62,"Amount matched (diff ₹0.00), date diff 2d, name similarity 62%"
UTR8800098,stl_098,INV-4598,fuzzy,0.5,"Amount matched (diff ₹0.00), date diff 2d, name similarity 46%"
UTR8800113,stl_113,INV-4613,fuzzy,0.5,"Amount matched (diff ₹0.00), date diff 2d, name similarity 46%"
UTR8800116,stl_116,INV-4616,fuzzy,0.62,"Amount matched (diff ₹0.00), date diff 1d, name similarity 62%"
UTR8800129,stl_129,INV-4629,fuzzy,0.73,"Amount matched (diff ₹0.00), date diff 2d, name similarity 73%"
UTR8800131,stl_131,INV-4631,fuzzy,0.5,"Amount matched (diff ₹0.00), date diff 2d, name similarity 46%"
UTR8800142,stl_142,INV-4642,fuzzy,0.62,"Amount matched (diff ₹0.00), date diff 3d, name similarity 62%"
UTR8800154,stl_154,INV-4654,fuzzy,0.5,"Amount matched (diff ₹0.00), date diff 2d, name similarity 46%"
UTR8800159,stl_159,INV-4659,fuzzy,0.5,"Amount matched (diff ₹0.00), date diff 1d, name similarity 46%"
UTR8800160,stl_160,INV-4660,fuzzy,0.57,"Amount matched (diff ₹0.00), date diff 3d, name similarity 57%"
UTR8800163,stl_163,INV-4663,fuzzy,0.5,"Amount matched (diff ₹0.00), date diff 3d, name similarity 43%"
UTR8800167,stl_167,INV-4667,fuzzy,0.5,"Amount matched (diff ₹0.00), date diff 2d, name similarity 46%"
UTR8800184,stl_184,INV-4684,fuzzy,0.62,"Amount matched (diff ₹0.00), date diff 2d, name similarity 62%"
UTR8800201,stl_201,INV-4701,fuzzy,0.5,"Amount matched (diff ₹0.00), date diff 3d, name similarity 43%"
UTR8800208,stl_208,INV-4708,fuzzy,0.5,"Amount matched (diff ₹0.00), date diff 3d, name similarity 46%"
UTR8800209,stl_209,INV-4709,fuzzy,0.5,"Amount matched (diff ₹0.00), date diff 1d, name similarity 46%"
UTR8800225,stl_225,INV-4725,fuzzy,0.73,"Amount matched (diff ₹0.00), date diff 2d, name similarity 73%"
UTR8800243,stl_243,INV-4743,fuzzy,0.5,"Amount matched (diff ₹0.00), date diff 2d, name similarity 46%"
UTR8800246,stl_246,INV-4746,fuzzy,0.5,"Amount matched (diff ₹0.00), date diff 2d, name similarity 46%"
UTR8800253,stl_253,INV-4753,fuzzy,0.5,"Amount matched (diff ₹0.00), date diff 1d, name similarity 48%"
UTR8800258,stl_258,INV-4758,fuzzy,0.73,"Amount matched (diff ₹0.00), date diff 1d, name similarity 73%"
UTR8800261,stl_261,INV-4761,fuzzy,0.62,"Amount matched (diff ₹0.00), date diff 1d, name similarity 62%"
