utr_number,settlement_id,invoice_no,should_match
UTR8800001,stl_001,INV-4501,yes
UTR8800002,stl_002,INV-4502,yes
UTR8800003,stl_003,INV-4503,yes
UTR8800004,stl_004,INV-4504,yes
UTR8800005,stl_005,INV-4505,yes
UTR8800006,stl_006,NONE,no
UTR8800007,stl_007,INV-4507,yes
UTR8800008,stl_008,INV-4508,yes
UTR8800009,stl_009,INV-4509,yes
UTR8800010,stl_010,INV-4510,yes
UTR8800011,stl_011,INV-4511,yes
UTR8800012,stl_012,INV-4512,yes
UTR8800013,stl_013,INV-4513,yes
UTR8800014,stl_014,INV-4514,yes
UTR8800015,stl_015,INV-4515,yes
UTR8800016,stl_016,INV-4516,yes
UTR8800017,stl_017,INV-4517,yes
UTR8800018,stl_018,INV-4518,yes
UTR8800019,stl_019,INV-4519,yes
UTR8800020,stl_020,INV-4520,yes
UTR8800021,stl_021,INV-4521,yes
UTR8800022,stl_022,INV-4522,yes
UTR8800023,stl_023,INV-4523,yes
UTR8800024,stl_024,INV-4524,yes
UTR8800025,stl_025,INV-4525,yes
UTR8800026,stl_026,NONE,no
UTR8800027,stl_027,INV-4527,yes
UTR8800028,stl_028,NONE,no
UTR8800029,stl_029,INV-4529,yes
UTR8800030,stl_030,NONE,no
UTR8800031,stl_031,INV-4531,yes
UTR8800032,stl_032,INV-4532,yes
UTR8800033,stl_033,INV-4533,yes
UTR8800034,stl_034,INV-4534,yes
UTR8800035,stl_035,INV-4535,yes
UTR8800036,stl_036,INV-4536,yes
UTR8800037,stl_037,INV-4537,yes
UTR8800038,stl_038,INV-4538,yes
UTR8800039,stl_039,INV-4539,yes
UTR8800040,stl_040,INV-4540,yes
UTR8800041,stl_041,INV-4541,yes
UTR8800042,stl_042,INV-4542,yes
UTR8800043,stl_043,INV-4543,yes
UTR8800044,stl_044,INV-4544,yes
UTR8800045,stl_045,INV-4545,yes
UTR8800046,stl_046,INV-4546,yes
UTR8800047,stl_047,INV-4547,yes
UTR8800048,stl_048,NONE,no
UTR8800049,stl_049,INV-4549,yes
UTR8800050,stl_050,INV-4550,yes
UTR8800051,stl_051,INV-4551,yes
UTR8800052,stl_052,INV-4552,yes
UTR8800053,stl_053,INV-4553,yes
UTR8800054,stl_054,INV-4554,yes
UTR8800055,stl_055,INV-4555,yes
UTR8800056,stl_056,INV-4556,yes
UTR8800057,stl_057,INV-4557,yes
