utr_number,settlement_id,customer_name,order_amount,settlement_date
UTR8800007,stl_007,BigBasket Innovative Retail,854.6,2026-08-22
UTR8800008,stl_008,Zomato Ltd,3670.57,2026-08-09
UTR8800009,stl_009,Zomato Ltd,4399.18,2026-08-16
UTR8800012,stl_012,Zomato Ltd,3580.76,2026-08-03
UTR8800015,stl_015,Zomato Ltd,3852.45,2026-08-20
UTR8800016,stl_016,Zomato Ltd,4987.97,2026-08-17
UTR8800018,stl_018,BigBasket Innovative Retail,3181.5,2026-08-10
UTR8800020,stl_020,Reliance Retail Ltd,2456.44,2026-08-10
UTR8800024,stl_024,Flipkart Internet Pvt Ltd,885.44,2026-08-04
UTR8800030,stl_030,Reliance Retail Ltd,3510.4,2026-08-06
UTR8800034,stl_034,Nykaa E-Retail Pvt Ltd,1130.82,2026-08-16
UTR8800035,stl_035,Flipkart Internet Pvt Ltd,727.65,2026-08-02
UTR8800036,stl_036,Zomato Ltd,1248.4,2026-08-08
UTR8800045,stl_045,Flipkart Internet Pvt Ltd,829.67,2026-08-10
UTR8800046,stl_046,Flipkart Internet Pvt Ltd,4456.72,2026-08-07
UTR8800055,stl_055,BigBasket Innovative Retail,4882.27,2026-08-09
UTR8800056,stl_056,Swiggy Bundl Technologies,4466.37,2026-08-12
UTR8800057,stl_057,Zomato Ltd,1700.63,2026-08-05
UTR8800058,stl_058,Zomato Ltd,1398.08,2026-08-13
UTR8800059,stl_059,Zomato Ltd,606.49,2026-08-12
UTR8800060,stl_060,Reliance Retail Ltd,2080.16,2026-08-19
UTR8800062,stl_062,BigBasket Innovative Retail,2055.59,2026-08-15
UTR8800065,stl_065,Myntra Designs Pvt Ltd,3304.2,2026-08-05
UTR8800076,stl_076,Nykaa E-Retail Pvt Ltd,3504.1,2026-08-21
UTR8800077,stl_077,Nykaa E-Retail Pvt Ltd,3256.94,2026-08-18
UTR8800078,stl_078,Swiggy Bundl Technologies,3846.45,2026-08-10
UTR8800082,stl_082,Nykaa E-Retail Pvt Ltd,2370.98,2026-08-15
UTR8800089,stl_089,Myntra Designs Pvt Ltd,3925.53,2026-08-15
UTR8800090,stl_090,Amazon Pvt Ltd,4999.59,2026-08-22
UTR8800093,stl_093,Myntra Designs Pvt Ltd,1255.05,2026-08-05
UTR8800094,stl_094,Flipkart Internet Pvt Ltd,3104.08,2026-08-20
UTR8800096,stl_096,Zomato Ltd,958.56,2026-08-21
UTR8800101,stl_101,Reliance Retail Ltd,1950.37,2026-08-04
UTR8800114,stl_114,Nykaa E-Retail Pvt Ltd,2654.21,2026-08-03
UTR8800116,stl_116,Amazon Pvt Ltd,1182.77,2026-08-11
UTR8800122,stl_122,Reliance Retail Ltd,3663.44,2026-08-09
UTR8800123,stl_123,Zomato Ltd,2413.13,2026-08-22
