settlement_id,payment_id,order_id,customer_name,order_amount,fee,gst,net_amount,settlement_date,utr_ref
stl_001,pay_29001xA,order_88001x,Flipkart Internet Pvt Ltd,612.55,15.31,2.76,594.48,2026-08-10,UTR8800001
stl_002,pay_29002xA,order_88002x,Flipkart Internet Pvt Ltd,3545.15,88.63,15.95,3440.57,2026-08-19,UTR8800002
stl_003,pay_29003xA,order_88003x,Amazon Pvt Ltd,634.09,15.85,2.85,615.39,2026-08-08,UTR8800003
stl_004,pay_29004xA,order_88004x,Amazon Pvt Ltd,3025.6,75.64,13.62,2936.34,2026-08-22,UTR8800004
stl_005,pay_29005xA,order_88005x,Zomato Ltd,2521.44,63.04,11.35,2447.05,2026-08-10,UTR8800005
stl_006,pay_29006xA,order_88006x,BigBasket Innovative Retail,2031.13,50.78,9.14,1971.21,2026-08-06,UTR8800006
stl_007,pay_29007xA,order_88007x,Myntra Designs Pvt Ltd,959.95,24.0,4.32,931.63,2026-08-14,UTR8800007
stl_008,pay_29008xA,order_88008x,Myntra Designs Pvt Ltd,3216.77,80.42,14.48,3121.87,2026-08-03,UTR8800008
stl_009,pay_29009xA,order_88009x,Flipkart Internet Pvt Ltd,4879.02,121.98,21.96,4735.08,2026-08-14,UTR8800009
stl_010,pay_29010xA,order_88010x,Myntra Designs Pvt Ltd,3098.08,77.45,13.94,3006.69,2026-08-04,UTR8800010
stl_011,pay_29011xA,order_88011x,Reliance Retail Ltd,4933.5,123.34,22.2,4787.96,2026-08-09,UTR8800011
stl_012,pay_29012xA,order_88012x,Nykaa E-Retail Pvt Ltd,3360.58,84.01,15.12,3261.45,2026-08-13,UTR8800012
stl_013,pay_29013xA,order_88013x,Zomato Ltd,3515.79,87.89,15.82,3412.08,2026-08-22,UTR8800013
stl_014,pay_29014xA,order_88014x,Swiggy Bundl Technologies,2903.63,72.59,13.07,2817.97,2026-08-09,UTR8800014
stl_015,pay_29015xA,order_88015x,Reliance Retail Ltd,4952.86,123.82,22.29,4806.75,2026-08-22,UTR8800015
stl_016,pay_29016xA,order_88016x,Myntra Designs Pvt Ltd,4292.83,107.32,19.32,4166.19,2026-08-03,UTR8800016
stl_017,pay_29017xA,order_88017x,BigBasket Innovative Retail,1704.83,42.62,7.67,1654.54,2026-08-08,UTR8800017
stl_018,pay_29018xA,order_88018x,Nykaa E-Retail Pvt Ltd,2280.34,57.01,10.26,2213.07,2026-08-22,UTR8800018
stl_019,pay_29019xA,order_88019x,Swiggy Bundl Technologies,1609.82,40.25,7.25,1562.32,2026-08-19,UTR8800019
stl_020,pay_29020xA,order_88020x,BigBasket Innovative Retail,4540.2,113.5,20.43,4406.27,2026-08-14,UTR8800020
stl_021,pay_29021xA,order_88021x,Swiggy Bundl Technologies,2792.87,69.82,12.57,2710.48,2026-08-04,UTR8800021
stl_022,pay_29022xA,order_88022x,Swiggy Bundl Technologies,4064.36,101.61,18.29,3944.46,2026-08-15,UTR8800022
stl_023,pay_29023xA,order_88023x,BigBasket Innovative Retail,3181.5,79.54,14.32,3087.64,2026-08-16,UTR8800023
stl_024,pay_29024xA,order_88024x,Amazon Pvt Ltd,3561.28,89.03,16.03,3456.22,2026-08-05,UTR8800024
stl_025,pay_29025xA,order_88025x,Myntra Designs Pvt Ltd,1001.98,25.05,4.51,972.42,2026-08-15,UTR8800025
stl_026,pay_29026xA,order_88026x,Reliance Retail Ltd,4873.5,121.84,21.93,4729.73,2026-08-07,UTR8800026
stl_027,pay_29027xA,order_88027x,Reliance Retail Ltd,4287.51,107.19,19.29,4161.03,2026-08-18,UTR8800027
stl_028,pay_29028xA,order_88028x,Myntra Designs Pvt Ltd,3931.3,98.28,17.69,3815.33,2026-08-19,UTR8800028
stl_029,pay_29029xA,order_88029x,Myntra Designs Pvt Ltd,2698.73,67.47,12.14,2619.12,2026-08-05,UTR8800029
stl_030,pay_29030xA,order_88030x,Reliance Retail Ltd,1577.54,39.44,7.1,1531.0,2026-08-09,UTR8800030
stl_031,pay_29031xA,order_88031x,Flipkart Internet Pvt Ltd,3793.58,94.84,17.07,3681.67,2026-08-04,UTR8800031
stl_032,pay_29032xA,order_88032x,Nykaa E-Retail Pvt Ltd,4760.82,119.02,21.42,4620.38,2026-08-07,UTR8800032
stl_033,pay_29033xA,order_88033x,BigBasket Innovative Retail,4839.63,120.99,21.78,4696.86,2026-08-19,UTR8800033
stl_034,pay_29034xA,order_88034x,Reliance Retail Ltd,2295.47,57.39,10.33,2227.75,2026-08-22,UTR8800034
stl_035,pay_29035xA,order_88035x,Nykaa E-Retail Pvt Ltd,1044.52,26.11,4.7,1013.71,2026-08-09,UTR8800035
stl_036,pay_29036xA,order_88036x,Zomato Ltd,3147.98,78.7,14.17,3055.11,2026-08-02,UTR8800036
stl_037,pay_29037xA,order_88037x,Amazon Pvt Ltd,1530.24,38.26,6.89,1485.09,2026-08-03,UTR8800037
stl_038,pay_29038xA,order_88038x,Zomato Ltd,1753.15,43.83,7.89,1701.43,2026-08-17,UTR8800038
stl_039,pay_29039xA,order_88039x,Nykaa E-Retail Pvt Ltd,1593.49,39.84,7.17,1546.48,2026-08-17,UTR8800039
stl_040,pay_29040xA,order_88040x,Flipkart Internet Pvt Ltd,3465.42,86.64,15.6,3363.18,2026-08-13,UTR8800040
stl_041,pay_29041xA,order_88041x,Amazon Pvt Ltd,3530.14,88.25,15.88,3426.01,2026-08-22,UTR8800041
stl_042,pay_29042xA,order_88042x,Myntra Designs Pvt Ltd,4102.67,102.57,18.46,3981.64,2026-08-05,UTR8800042
stl_043,pay_29043xA,order_88043x,Nykaa E-Retail Pvt Ltd,1130.82,28.27,5.09,1097.46,2026-08-07,UTR8800043
stl_044,pay_29044xA,order_88044x,Flipkart Internet Pvt Ltd,2494.09,62.35,11.22,2420.52,2026-08-19,UTR8800044
stl_045,pay_29045xA,order_88045x,Amazon Pvt Ltd,4860.48,121.51,21.87,4717.1,2026-08-09,UTR8800045
stl_046,pay_29046xA,order_88046x,Nykaa E-Retail Pvt Ltd,1461.86,36.55,6.58,1418.73,2026-08-14,UTR8800046
stl_047,pay_29047xA,order_88047x,Amazon Pvt Ltd,4933.89,123.35,22.2,4788.34,2026-08-10,UTR8800047
stl_048,pay_29048xA,order_88048x,Nykaa E-Retail Pvt Ltd,1196.59,29.91,5.38,1161.3,2026-08-11,UTR8800048
stl_049,pay_29049xA,order_88049x,Amazon Pvt Ltd,3865.89,96.65,17.4,3751.84,2026-08-03,UTR8800049
stl_050,pay_29050xA,order_88050x,Swiggy Bundl Technologies,755.96,18.9,3.4,733.66,2026-08-18,UTR8800050
stl_051,pay_29051xA,order_88051x,Flipkart Internet Pvt Ltd,3538.46,88.46,15.92,3434.08,2026-08-09,UTR8800051
stl_052,pay_29052xA,order_88052x,Zomato Ltd,3105.14,77.63,13.97,3013.54,2026-08-03,UTR8800052
stl_053,pay_29053xA,order_88053x,Myntra Designs Pvt Ltd,4706.18,117.65,21.18,4567.35,2026-08-08,UTR8800053
stl_054,pay_29054xA,order_88054x,Zomato Ltd,1695.27,42.38,7.63,1645.26,2026-08-06,UTR8800054
stl_055,pay_29055xA,order_88055x,Nykaa E-Retail Pvt Ltd,1922.8,48.07,8.65,1866.08,2026-08-04,UTR8800055
stl_056,pay_29056xA,order_88056x,Flipkart Internet Pvt Ltd,829.67,20.74,3.73,805.2,2026-08-08,UTR8800056
stl_057,pay_29057xA,order_88057x,Myntra Designs Pvt Ltd,4463.89,111.6,20.09,4332.2,2026-08-09,UTR8800057
stl_058,pay_29058xA,order_88058x,Nykaa E-Retail Pvt Ltd,4251.85,106.3,19.13,4126.42,2026-08-11,UTR8800058
stl_059,pay_29059xA,order_88059x,Amazon Pvt Ltd,3505.38,87.63,15.77,3401.98,2026-08-19,UTR8800059
stl_060,pay_29060xA,order_88060x,Flipkart Internet Pvt Ltd,4725.19,118.13,21.26,4585.8,2026-08-06,UTR8800060
