refund_id,payment_id,settlement_id,refund_amount,refund_date,refund_type
rfnd_9001,pay_29021xA,stl_021,952.12,2026-08-30,partial
rfnd_9002,pay_29111xA,stl_111,2029.89,2026-08-23,partial
rfnd_9003,pay_29428xA,stl_428,2065.66,2026-08-30,full
rfnd_9004,pay_29439xA,stl_439,2958.59,2026-08-09,full
rfnd_9005,pay_29168xA,stl_168,562.63,2026-08-18,full
rfnd_9006,pay_29076xA,stl_076,2422.33,2026-08-25,partial
rfnd_9007,pay_29047xA,stl_047,3505.38,2026-08-13,full
rfnd_9008,pay_29365xA,stl_365,1177.03,2026-08-15,partial
rfnd_9009,pay_29128xA,stl_128,1646.42,2026-08-13,partial
rfnd_9010,pay_29496xA,stl_496,1812.54,2026-08-17,full
rfnd_9011,pay_29183xA,stl_183,3149.84,2026-08-15,full
rfnd_9012,pay_29203xA,stl_203,982.91,2026-08-11,partial
rfnd_9013,pay_29263xA,stl_263,2954.63,2026-08-13,full
rfnd_9014,pay_29026xA,stl_026,4680.11,2026-08-16,full
rfnd_9015,pay_29347xA,stl_347,1367.76,2026-08-09,partial
rfnd_9016,pay_29154xA,stl_154,1340.32,2026-08-16,partial
rfnd_9017,pay_29134xA,stl_134,2359.61,2026-08-17,full
rfnd_9018,pay_29420xA,stl_420,1935.09,2026-08-14,full
